year,variable,value
2004,Abap,0.375
2004,Ada,0.376666667
2004,C#,5.09
2004,C/C++,9.683333333
2004,Cobol,0.501666667
2004,Dart,0
2004,Delphi/Pascal,2.74
2004,Go,0
2004,Groovy,0.071666667
2004,Haskell,0.215
2004,Java,29.75666667
2004,JavaScript,8.61
2004,Julia,0
2004,Kotlin,0
2004,Lua,0.193333333
2004,Matlab,2.143333333
2004,Objective-C,0.198333333
2004,PHP,19.33333333
2004,Perl,7.133333333
2004,Python,2.726666667
2004,R,0.405
2004,Ruby,0.411666667
2004,Rust,0.106666667
2004,Scala,0.035
2004,Swift,0
2004,TypeScript,0
2004,VBA,1.503333333
2004,Visual Basic,8.391666667
2005,Abap,0.358333333
2005,Ada,0.336666667
2005,C#,5.850833333
2005,C/C++,9.300833333
2005,Cobol,0.44
2005,Dart,0
2005,Delphi/Pascal,2.5
2005,Go,0
2005,Groovy,0.0825
2005,Haskell,0.233333333
2005,Java,30.2125
2005,JavaScript,8.309166667
2005,Julia,0
2005,Kotlin,0
2005,Lua,0.249166667
2005,Matlab,2.240833333
2005,Objective-C,0.1375
2005,PHP,19.68416667
2005,Perl,6.680833333
2005,Python,3.1325
2005,R,0.439166667
2005,Ruby,0.6825
2005,Rust,0.135833333
2005,Scala,0.0175
2005,Swift,0
2005,TypeScript,0
2005,VBA,1.5475
2005,Visual Basic,7.4325
2006,Abap,0.363333333
2006,Ada,0.2525
2006,C#,6.698333333
2006,C/C++,8.405
2006,Cobol,0.438333333
2006,Dart,0
2006,Delphi/Pascal,2.098333333
2006,Go,0
2006,Groovy,0.094166667
2006,Haskell,0.291666667
2006,Java,30.105
2006,JavaScript,8.285
2006,Julia,0
2006,Kotlin,0
2006,Lua,0.3925
2006,Matlab,2.3125
2006,Objective-C,0.121666667
2006,PHP,20.1425
2006,Perl,5.645833333
2006,Python,3.829166667
2006,R,0.535
2006,Ruby,1.9475
2006,Rust,0.094166667
2006,Scala,0.0225
2006,Swift,0
2006,TypeScript,0.004166667
2006,VBA,1.601666667
2006,Visual Basic,6.326666667
2007,Abap,0.370833333
2007,Ada,0.240833333
2007,C#,6.9
2007,C/C++,8.08
2007,Cobol,0.360833333
2007,Dart,0
2007,Delphi/Pascal,1.781666667
2007,Go,0
2007,Groovy,0.146666667
2007,Haskell,0.3225
2007,Java,30.5625
2007,JavaScript,8.443333333
